scene_id,predicted_room_id,class_id,class_label,gt_class_present_in_room,gt_class_present_in_scene,num_gt_instances_in_room,belief
00847-bCPU9suPUw9,0_0,0,acoustic panel,0,0,0,0.0
00847-bCPU9suPUw9,0_0,1,air conditioner,0,0,0,0.0
00847-bCPU9suPUw9,0_0,2,air freshener,0,0,0,0.0
00847-bCPU9suPUw9,0_0,3,air hockey,0,0,0,0.0
00847-bCPU9suPUw9,0_0,4,air purifier,0,0,0,0.0
00847-bCPU9suPUw9,0_0,5,aisle frame,0,0,0,0.0
00847-bCPU9suPUw9,0_0,6,alarm,0,0,0,0.0
00847-bCPU9suPUw9,0_0,7,album,0,0,0,0.0
00847-bCPU9suPUw9,0_0,8,amplifier,0,0,0,0.0
00847-bCPU9suPUw9,0_0,9,appliance,0,0,0,0.9525031094932594
00847-bCPU9suPUw9,0_0,10,apron,0,0,0,0.0
00847-bCPU9suPUw9,0_0,11,aquarium,0,0,0,0.0
00847-bCPU9suPUw9,0_0,12,arcade game,0,0,0,0.0
00847-bCPU9suPUw9,0_0,13,artwork,0,1,0,0.0
00847-bCPU9suPUw9,0_0,14,ashtray,0,0,0,0.0
00847-bCPU9suPUw9,0_0,15,audio player,0,0,0,0.0
00847-bCPU9suPUw9,0_0,16,axe,0,0,0,0.0
00847-bCPU9suPUw9,0_0,17,baby changing table,0,0,0,0.0
00847-bCPU9suPUw9,0_0,18,backrest,0,0,0,0.0
00847-bCPU9suPUw9,0_0,19,backsplash,0,0,0,0.0
00847-bCPU9suPUw9,0_0,20,bag,0,0,0,0.0
00847-bCPU9suPUw9,0_0,21,ball,0,0,0,0.0
00847-bCPU9suPUw9,0_0,22,ball pool,0,0,0,0.0
00847-bCPU9suPUw9,0_0,23,bar,0,0,0,0.0
00847-bCPU9suPUw9,0_0,24,barbecue,0,0,0,0.0
00847-bCPU9suPUw9,0_0,25,barrel,0,0,0,0.0
00847-bCPU9suPUw9,0_0,26,base,0,0,0,0.0
00847-bCPU9suPUw9,0_0,27,baseball bat,0,0,0,0.0
00847-bCPU9suPUw9,0_0,28,basket,0,0,0,0.0
00847-bCPU9suPUw9,0_0,29,basketball hoop,0,0,0,0.0
00847-bCPU9suPUw9,0_0,30,basketballs,0,0,0,0.0
00847-bCPU9suPUw9,0_0,31,bathroom accessory,0,0,0,0.0
00847-bCPU9suPUw9,0_0,32,bathtub,0,1,0,0.0
00847-bCPU9suPUw9,0_0,33,bed,0,1,0,0.0
00847-bCPU9suPUw9,0_0,34,bed ladder,0,0,0,0.0
00847-bCPU9suPUw9,0_0,35,beer crate,0,0,0,0.0
00847-bCPU9suPUw9,0_0,36,bell,0,0,0,0.0
00847-bCPU9suPUw9,0_0,37,belt,0,0,0,0.0
00847-bCPU9suPUw9,0_0,38,bench,0,0,0,0.0
00847-bCPU9suPUw9,0_0,39,beverage dispenser,0,0,0,0.0
00847-bCPU9suPUw9,0_0,40,bicycle,0,0,0,0.0
00847-bCPU9suPUw9,0_0,41,bicycle helmet,0,0,0,0.0
00847-bCPU9suPUw9,0_0,42,bin,0,1,0,0.0
00847-bCPU9suPUw9,0_0,43,birdhouse,0,0,0,0.0
00847-bCPU9suPUw9,0_0,44,blanket,0,0,0,0.0
00847-bCPU9suPUw9,0_0,45,board,0,0,0,0.0
00847-bCPU9suPUw9,0_0,46,board game,0,0,0,0.0
00847-bCPU9suPUw9,0_0,47,board with keys,0,0,0,0.0
00847-bCPU9suPUw9,0_0,48,book,0,0,0,0.0
00847-bCPU9suPUw9,0_0,49,bottle,0,0,0,0.0
00847-bCPU9suPUw9,0_0,50,bottle dispenser,0,0,0,0.0
00847-bCPU9suPUw9,0_0,51,bottle opener,0,0,0,0.0
00847-bCPU9suPUw9,0_0,52,bowl,0,0,0,0.0
00847-bCPU9suPUw9,0_0,53,box,1,1,1,0.0
00847-bCPU9suPUw9,0_0,54,boxing ring,0,0,0,0.0
00847-bCPU9suPUw9,0_0,55,bread,0,0,0,0.0
00847-bCPU9suPUw9,0_0,56,bread box,0,0,0,0.0
00847-bCPU9suPUw9,0_0,57,bricks,0,0,0,0.0
00847-bCPU9suPUw9,0_0,58,bridge,0,0,0,0.0
00847-bCPU9suPUw9,0_0,59,broom,0,0,0,0.0
00847-bCPU9suPUw9,0_0,60,brush,0,0,0,0.0
00847-bCPU9suPUw9,0_0,61,bucket,0,0,0,0.0
00847-bCPU9suPUw9,0_0,62,buffet,0,0,0,0.0
00847-bCPU9suPUw9,0_0,63,button,0,0,0,0.0
00847-bCPU9suPUw9,0_0,64,cabinet,1,1,3,0.9999999999989455
00847-bCPU9suPUw9,0_0,65,cable,0,0,0,0.0
00847-bCPU9suPUw9,0_0,66,cage,0,0,0,0.0
00847-bCPU9suPUw9,0_0,67,cake,0,0,0,0.0
00847-bCPU9suPUw9,0_0,68,calculator,0,0,0,0.0
00847-bCPU9suPUw9,0_0,69,calendar,0,0,0,0.0
00847-bCPU9suPUw9,0_0,70,camera,0,0,0,0.0
00847-bCPU9suPUw9,0_0,71,can,0,0,0,0.6438572737957957
00847-bCPU9suPUw9,0_0,72,canal,0,0,0,0.0
00847-bCPU9suPUw9,0_0,73,candelabra,0,0,0,0.0
00847-bCPU9suPUw9,0_0,74,candle,0,0,0,0.0
00847-bCPU9suPUw9,0_0,75,candle holder,0,0,0,0.0
00847-bCPU9suPUw9,0_0,76,candle stand,0,0,0,0.0
00847-bCPU9suPUw9,0_0,77,candlestick,0,0,0,0.0
00847-bCPU9suPUw9,0_0,78,canoe,0,0,0,0.0
00847-bCPU9suPUw9,0_0,79,canopy,0,0,0,0.0
00847-bCPU9suPUw9,0_0,80,car,0,0,0,0.5993767360787045
00847-bCPU9suPUw9,0_0,81,card,0,0,0,0.0
00847-bCPU9suPUw9,0_0,82,cardboard,0,0,0,0.9999960885739496
00847-bCPU9suPUw9,0_0,83,cart,0,0,0,0.0
00847-bCPU9suPUw9,0_0,84,cash register,0,0,0,0.0
00847-bCPU9suPUw9,0_0,85,casket,0,0,0,0.0
00847-bCPU9suPUw9,0_0,86,cassette,0,0,0,0.0
00847-bCPU9suPUw9,0_0,87,cat,0,0,0,0.5675147918266504
00847-bCPU9suPUw9,0_0,88,cat food,0,0,0,0.0
00847-bCPU9suPUw9,0_0,89,cat litter box,0,0,0,0.0
00847-bCPU9suPUw9,0_0,90,cat tree,0,0,0,0.0
00847-bCPU9suPUw9,0_0,91,cd,0,0,0,0.0
00847-bCPU9suPUw9,0_0,92,ceiling arch,0,0,0,0.9999277556549291
00847-bCPU9suPUw9,0_0,93,ceiling chassis,0,0,0,0.27879562395281865
00847-bCPU9suPUw9,0_0,94,ceiling ladder,0,0,0,0.0
00847-bCPU9suPUw9,0_0,95,ceramics,0,0,0,0.0
00847-bCPU9suPUw9,0_0,96,chain,0,0,0,0.0
00847-bCPU9suPUw9,0_0,97,chair,1,1,3,0.0
00847-bCPU9suPUw9,0_0,98,chair stand,0,0,0,0.0
00847-bCPU9suPUw9,0_0,99,chassis,0,0,0,0.0
00847-bCPU9suPUw9,0_0,100,chest,0,0,0,0.0
00847-bCPU9suPUw9,0_0,101,child car seat,0,0,0,0.0
00847-bCPU9suPUw9,0_0,102,christmas tree,0,0,0,0.0
00847-bCPU9suPUw9,0_0,103,clarinet,0,0,0,0.0
00847-bCPU9suPUw9,0_0,104,cleaner,0,0,0,0.0
00847-bCPU9suPUw9,0_0,105,clock,0,1,0,0.0
00847-bCPU9suPUw9,0_0,106,closet door,0,0,0,0.999999999452463
00847-bCPU9suPUw9,0_0,107,cloth,0,0,0,0.0
00847-bCPU9suPUw9,0_0,108,cloth holder,0,0,0,0.0
00847-bCPU9suPUw9,0_0,109,clothes,0,0,0,0.0
00847-bCPU9suPUw9,0_0,110,clothes container,0,0,0,0.0
00847-bCPU9suPUw9,0_0,111,clothes dryer,0,0,0,0.0
00847-bCPU9suPUw9,0_0,112,clothes rack,0,0,0,0.0
00847-bCPU9suPUw9,0_0,113,clutter,0,0,0,0.0
00847-bCPU9suPUw9,0_0,114,coaster,0,0,0,0.0
00847-bCPU9suPUw9,0_0,115,coffee maker,0,0,0,0.0
00847-bCPU9suPUw9,0_0,116,coffee table,0,0,0,0.0
00847-bCPU9suPUw9,0_0,117,compressor,0,0,0,0.0
00847-bCPU9suPUw9,0_0,118,computer,0,0,0,0.0
00847-bCPU9suPUw9,0_0,119,computer equipment,0,0,0,0.0
00847-bCPU9suPUw9,0_0,120,cone,0,0,0,0.0
00847-bCPU9suPUw9,0_0,121,construction stuff,0,0,0,0.0
00847-bCPU9suPUw9,0_0,122,container,0,0,0,0.0
00847-bCPU9suPUw9,0_0,123,controller,0,0,0,0.0
00847-bCPU9suPUw9,0_0,124,cosmetics,0,0,0,0.0
00847-bCPU9suPUw9,0_0,125,counter door,0,0,0,0.0
00847-bCPU9suPUw9,0_0,126,countertop,0,0,0,0.0
00847-bCPU9suPUw9,0_0,127,countertop item,0,0,0,0.9997800995146311
00847-bCPU9suPUw9,0_0,128,cover,0,0,0,0.0
00847-bCPU9suPUw9,0_0,129,cross,0,0,0,0.0
00847-bCPU9suPUw9,0_0,130,crutches,0,0,0,0.0
00847-bCPU9suPUw9,0_0,131,cup,0,0,0,0.0
00847-bCPU9suPUw9,0_0,132,curb,0,0,0,0.0
00847-bCPU9suPUw9,0_0,133,curtain,1,1,1,0.0
00847-bCPU9suPUw9,0_0,134,cushion,0,0,0,0.0
00847-bCPU9suPUw9,0_0,135,cutlery,0,0,0,0.0
00847-bCPU9suPUw9,0_0,136,cyp,0,0,0,0.0
00847-bCPU9suPUw9,0_0,137,dartboard,0,0,0,0.0
00847-bCPU9suPUw9,0_0,138,decoder,0,0,0,0.0
00847-bCPU9suPUw9,0_0,139,decoration,0,1,0,0.0
00847-bCPU9suPUw9,0_0,140,dehumidifier,0,0,0,0.0
00847-bCPU9suPUw9,0_0,141,den,0,0,0,0.0
00847-bCPU9suPUw9,0_0,142,desk,0,1,0,0.0
00847-bCPU9suPUw9,0_0,143,desk door,0,0,0,0.5258417069407425
00847-bCPU9suPUw9,0_0,144,dinnerware,0,0,0,0.0
00847-bCPU9suPUw9,0_0,145,diploma,0,0,0,0.0
