structural_element,instance_count,category,recommended_exclude,reason
air duct,16,building_service,yes,Integrated building service/infrastructure element
air vent,198,building_service,yes,Integrated building service/infrastructure element
air vent installation,4,building_service,yes,Integrated building service/infrastructure element
arch,39,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
archway,15,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
attic door,31,door_opening,yes,Architectural door/opening or integrated door assembly
attic entrance,1,door_opening,yes,Architectural door/opening or integrated door assembly
attic hatch,8,door_opening,yes,Architectural door/opening or integrated door assembly
balcony,2,roof_exterior_structure,yes,Permanent exterior architectural/structural element
balcony railing,8,stairs_and_railings,yes,Permanent circulation/guarding element
balustrade,37,stairs_and_railings,yes,Permanent circulation/guarding element
banister,76,stairs_and_railings,yes,Permanent circulation/guarding element
baseboard,8,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
bath door,1,door_opening,yes,Architectural door/opening or integrated door assembly
bath door frame,2,door_opening,yes,Architectural door/opening or integrated door assembly
bath floor,1,floor_surface,yes,Architectural floor surface
bath wall,88,wall_surface,yes,Architectural wall or wall surface
bathroom floor,5,floor_surface,yes,Architectural floor surface
bathroom wall,12,wall_surface,yes,Architectural wall or wall surface
bathroom window,4,window_opening,yes,Architectural window/opening or integrated window assembly
beam,529,structural_support,yes,Load-bearing or structural support element
bedroom ceiling,8,ceiling_surface,yes,Architectural ceiling surface
bottom of stairs,2,stairs_and_railings,yes,Permanent circulation/guarding element
ceiling,4440,ceiling_surface,yes,Architectural ceiling surface
ceiling bedroom,1,ceiling_surface,yes,Architectural ceiling surface
ceiling boarder,4,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
ceiling border,7,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
ceiling corridor,1,ceiling_surface,yes,Architectural ceiling surface
ceiling dome,17,ceiling_surface,yes,Architectural ceiling surface
ceiling door,20,door_opening,yes,Architectural door/opening or integrated door assembly
ceiling duct,15,building_service,yes,Integrated building service/infrastructure element
ceiling floor,1,ceiling_surface,yes,Architectural ceiling surface
ceiling lower,64,ceiling_surface,yes,Architectural ceiling surface
ceiling molding,45,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
ceiling panel,1,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
ceiling pipe,31,building_service,yes,Integrated building service/infrastructure element
ceiling support,6,structural_support,yes,Load-bearing or structural support element
ceiling under staircase,2,ceiling_surface,yes,Architectural ceiling surface
ceiling under stairs,34,ceiling_surface,yes,Architectural ceiling surface
ceiling vent,178,building_service,yes,Integrated building service/infrastructure element
ceiling wall,83,wall_surface,yes,Architectural wall or wall surface
ceiling window,17,window_opening,yes,Architectural window/opening or integrated window assembly
ceiling/west wall,12,wall_surface,yes,Architectural wall or wall surface
chimney,6,roof_exterior_structure,yes,Permanent exterior architectural/structural element
closet floor,1,floor_surface,yes,Architectural floor surface
closet mirror wall,14,wall_surface,yes,Architectural wall or wall surface
column,45,structural_support,yes,Load-bearing or structural support element
compound wall,1,wall_surface,yes,Architectural wall or wall surface
cornice,3,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
decorative window,1,window_opening,yes,Architectural window/opening or integrated window assembly
door,3622,door_opening,yes,Architectural door/opening or integrated door assembly
door /otherroom,1,door_opening,yes,Architectural door/opening or integrated door assembly
door frame,3477,door_opening,yes,Architectural door/opening or integrated door assembly
door handle,12,door_hardware,yes,Integrated architectural door hardware
door hinge,41,door_hardware,yes,Integrated architectural door hardware
door knob,343,door_hardware,yes,Integrated architectural door hardware
door stopper,15,door_hardware,yes,Integrated architectural door hardware
door window,87,door_opening,yes,Architectural door/opening or integrated door assembly
door/window,16,door_opening,yes,Architectural door/opening or integrated door assembly
door/window frame,13,door_opening,yes,Architectural door/opening or integrated door assembly
doorbell,1,door_hardware,yes,Integrated architectural door hardware
doorpost,102,door_opening,yes,Architectural door/opening or integrated door assembly
doorstep,22,door_opening,yes,Architectural door/opening or integrated door assembly
doorway,14,door_opening,yes,Architectural door/opening or integrated door assembly
drain,1,building_service,yes,Integrated building service/infrastructure element
drainage,1,building_service,yes,Integrated building service/infrastructure element
drainpipe,1,building_service,yes,Integrated building service/infrastructure element
drywall board,5,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
duct,22,building_service,yes,Integrated building service/infrastructure element
elevator door,5,door_opening,yes,Architectural door/opening or integrated door assembly
entrance arch,1,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
exhaust pipe,3,building_service,yes,Integrated building service/infrastructure element
exhibition window,20,window_opening,yes,Architectural window/opening or integrated window assembly
exhibition window frame,20,window_opening,yes,Architectural window/opening or integrated window assembly
fence,16,roof_exterior_structure,yes,Permanent exterior architectural/structural element
fireplace floor,4,floor_surface,yes,Architectural floor surface
fireplace wall,58,wall_surface,yes,Architectural wall or wall surface
floor,3231,floor_surface,yes,Architectural floor surface
floor /otherroom,1,floor_surface,yes,Architectural floor surface
floor /outside,7,floor_surface,yes,Architectural floor surface
floor frame,1,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
floor vent,15,building_service,yes,Integrated building service/infrastructure element
garage door,33,door_opening,yes,Architectural door/opening or integrated door assembly
garage door frame,12,door_opening,yes,Architectural door/opening or integrated door assembly
garden deck,1,roof_exterior_structure,yes,Permanent exterior architectural/structural element
gate,4,roof_exterior_structure,yes,Permanent exterior architectural/structural element
glass door,2,door_opening,yes,Architectural door/opening or integrated door assembly
glass pane,1,window_opening,yes,Architectural window/opening or integrated window assembly
gutter,3,roof_exterior_structure,yes,Permanent exterior architectural/structural element
handrail,103,stairs_and_railings,yes,Permanent circulation/guarding element
kitchen ceiling,1,ceiling_surface,yes,Architectural ceiling surface
kitchen wall,27,wall_surface,yes,Architectural wall or wall surface
ledge,28,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
molding,10,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
niche,9,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
office wall,1,wall_surface,yes,Architectural wall or wall surface
paneling,40,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
partition,72,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
patio,1,roof_exterior_structure,yes,Permanent exterior architectural/structural element
patio floor,6,floor_surface,yes,Architectural floor surface
pillar,143,structural_support,yes,Load-bearing or structural support element
pipe,449,building_service,yes,Integrated building service/infrastructure element
post,3,structural_support,yes,Load-bearing or structural support element
rafter,37,structural_support,yes,Load-bearing or structural support element
railing,87,stairs_and_railings,yes,Permanent circulation/guarding element
recessed cubby,11,built_in_recess,yes,Built-in wall recess or integrated shelving cavity
recessed shelving,2,built_in_recess,yes,Built-in wall recess or integrated shelving cavity
recessed wall,19,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
roof,32,roof_exterior_structure,yes,Permanent exterior architectural/structural element
shower ceiling,32,ceiling_surface,yes,Architectural ceiling surface
shower door,15,door_opening,yes,Architectural door/opening or integrated door assembly
shower floor,143,floor_surface,yes,Architectural floor surface
shower pipe,9,building_service,yes,Integrated building service/infrastructure element
shower wall,461,wall_surface,yes,Architectural wall or wall surface
shower wall cubby,13,built_in_recess,yes,Built-in wall recess or integrated shelving cavity
shower window frame,1,window_opening,yes,Architectural window/opening or integrated window assembly
sink pipe,7,building_service,yes,Integrated building service/infrastructure element
skirting board,1,partition_arch_trim,yes,"Permanent partition, finish, trim, or architectural detail"
skylight,3,window_opening,yes,Architectural window/opening or integrated window assembly
slab,2,structural_support,yes,Load-bearing or structural support element
sliding door,37,door_opening,yes,Architectural door/opening or integrated door assembly
sliding glass door,26,door_opening,yes,Architectural door/opening or integrated door assembly
solarium door,1,door_opening,yes,Architectural door/opening or integrated door assembly
stair,20,stairs_and_railings,yes,Permanent circulation/guarding element
stair frame,1,stairs_and_railings,yes,Permanent circulation/guarding element
stair handle,5,stairs_and_railings,yes,Permanent circulation/guarding element
stair step,100,stairs_and_railings,yes,Permanent circulation/guarding element
stair wall,15,wall_surface,yes,Architectural wall or wall surface
staircase,4,stairs_and_railings,yes,Permanent circulation/guarding element
staircase handrail,61,stairs_and_railings,yes,Permanent circulation/guarding element
staircase trim,19,stairs_and_railings,yes,Permanent circulation/guarding element
staircase wall,1,wall_surface,yes,Architectural wall or wall surface
stairs,731,stairs_and_railings,yes,Permanent circulation/guarding element
