scene_id,predicted_room_id,class_id,class_label,gt_class_present_in_room,gt_class_present_in_scene,num_gt_instances_in_room,belief
00824-Dd4bFSTQ8gi,0_0,0,acoustic panel,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,1,air conditioner,0,1,0,0.0
00824-Dd4bFSTQ8gi,0_0,2,air freshener,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,3,air hockey,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,4,air purifier,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,5,aisle frame,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,6,alarm,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,7,album,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,8,amplifier,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,9,appliance,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,10,apron,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,11,aquarium,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,12,arcade game,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,13,artwork,0,1,0,0.0
00824-Dd4bFSTQ8gi,0_0,14,ashtray,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,15,audio player,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,16,axe,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,17,baby changing table,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,18,backrest,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,19,backsplash,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,20,bag,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,21,ball,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,22,ball pool,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,23,bar,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,24,barbecue,0,0,0,0.0
00824-Dd4bFSTQ8gi,0_0,25,barrel,0,0,0,0.0
